"id","rightsHolder","datasetName","basisOfRecord","year","month","latitude","longitude","coordinatePrecision","coordinateUncertaintyInMeters","type","taxon_id","taxonRank","taxaSubGroup","kingdom","phylum","class","order","family","genus","scientificName","is_terrestrial","is_freshwater","is_brackish","is_marine","simple_scientificName"
"64525368d9db0801d6bb7eed","台灣生物多樣性網絡 TBN","花蓮農地野生物分布資料集（花蓮場計畫）","HumanObservation","2022","06",23.44956963,121.4006478,,0,"land","t0004629","family","Other insects","Animalia","Arthropoda","Insecta","Diptera","","","Sciomyzinae",,,,,
"6607fa22f071640054566064","GBIF","iNaturalist Research-grade Observations","HumanObservation","2023","10",23.483335,120.463798,,9,"land","t0048615","species","Other insects","Animalia","Arthropoda","Insecta","Hymenoptera","Vespidae","Vespa","Vespa affinis","true",,,,"Vespa affinis"
"655f515dffe5520017193bfa","GBIF","iNaturalist Research-grade Observations","HumanObservation","2018","06",24.759702,121.585274,,31,"land","t0063278","species","Other insects","Animalia","Arthropoda","Insecta","Hemiptera","Lygaeidae","Eucosmetus","Eucosmetus formosus","true",,,,"Eucosmetus formosus"
"655f534dffe552001719d324","GBIF","iNaturalist Research-grade Observations","HumanObservation","2023","06",24.930225,121.312142,,3000,"land","t0069353","species","Other insects","Animalia","Arthropoda","Insecta","Diptera","Asilidae","Microstylum","Microstylum oberthurii","true",,,,"Microstylum oberthurii"
"6452536cd9db0801d6bb942b","台灣生物多樣性網絡 TBN","花蓮農地野生物分布資料集（花蓮場計畫）","HumanObservation","2022","04",23.44929905,121.3983876,,0,"land","t0005610","family","Other insects","Animalia","Arthropoda","Insecta","Diptera","","","Chironomidae",,,,,
"6452535fd9db0801d6bb47aa","台灣生物多樣性網絡 TBN","花蓮農地野生物分布資料集（花蓮場計畫）","HumanObservation","2022","07",23.5043,121.39374,,10,"land","t0047092","species","Other insects","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Tetramorium","Tetramorium lanuginosum","true",,,,"Tetramorium lanuginosum"
"6481719a80233a002145aa9b","河川環境資料庫","Investigation Current Status of River in Taiwan between 2002 to 2020","Occurrence","2018","07",23.77253,121.47767,1e-05,,"land","t0082932","species","Other insects","Animalia","Arthropoda","Insecta","Odonata","Libellulidae","Pantala","Pantala flavescens","true","true",,"true","Pantala flavescens"
"65be5ec7cf4897005f7dc87c","台灣生物多樣性網絡 TBN","成龍溼地魚類生態紀錄","HumanObservation","2010","09",23.55607,120.164089,,30,"land","t0000503","class","Other molluscs","Animalia","Mollusca","","","","","Gastropoda",,,,,
"655f4814ffe552001716c588","GBIF","iNaturalist Research-grade Observations","HumanObservation","2023","06",21.911974,120.847507,,64,"land","t0069987","species","Other molluscs","Animalia","Mollusca","Polyplacophora","Chitonida","Chitonidae","Acanthopleura","Acanthopleura spinosa",,,,"true","Acanthopleura spinosa"
"65be5ec8cf4897005f7dca4d","台灣生物多樣性網絡 TBN","成龍溼地魚類生態紀錄","HumanObservation","2011","11",23.55607,120.164089,,30,"land","t0000503","class","Other molluscs","Animalia","Mollusca","","","","","Gastropoda",,,,,
"65be5ec4cf4897005f7dc26f","台灣生物多樣性網絡 TBN","成龍溼地魚類生態紀錄","HumanObservation","2010","07",23.554725,120.164169,,30,"land","t0000503","class","Other molluscs","Animalia","Mollusca","","","","","Gastropoda",,,,,
"655f5983ffe55200171b3004","GBIF","iNaturalist Research-grade Observations","HumanObservation","2022","07",25.134833,121.824762,,5,"land","t0066344","species","Other molluscs","Animalia","Mollusca","Polyplacophora","Chitonida","Ischnochitonidae","Ischnochiton","Ischnochiton comptus",,,,"true","Ischnochiton comptus"
"655f2d71ffe55200170f7c4b","GBIF","iNaturalist Research-grade Observations","HumanObservation","2018","03",23.570714,119.56055,,15,"land","t0067588","species","Other molluscs","Animalia","Mollusca","Polyplacophora","Chitonida","Chitonidae","Liolophura","Liolophura japonica",,,,"true","Liolophura japonica"
"65be5ec7cf4897005f7dc900","台灣生物多樣性網絡 TBN","成龍溼地魚類生態紀錄","HumanObservation","2011","12",23.55607,120.164089,,30,"land","t0000503","class","Other molluscs","Animalia","Mollusca","","","","","Gastropoda",,,,,
"65be5ec4cf4897005f7dc24a","台灣生物多樣性網絡 TBN","成龍溼地魚類生態紀錄","HumanObservation","2010","06",23.554725,120.164169,,30,"land","t0000503","class","Other molluscs","Animalia","Mollusca","","","","","Gastropoda",,,,,
"64525372d9db0801d6bbb168","台灣生物多樣性網絡 TBN","花蓮農地野生物分布資料集（花蓮場計畫）","HumanObservation","2022","04",23.51412222,121.39415,,4,"land","t0000503","class","Other molluscs","Animalia","Mollusca","","","","","Gastropoda",,,,,
"6607a77ef07164005c4e9d2a","臺灣生物多樣性資訊機構 TaiBIF","eDNA along Houdong riverine zonation in Taiwan","MaterialSample","2022","04",24.841736,121.825681,,30,"land","t0000503","class","Other molluscs","Animalia","Mollusca","","","","","Gastropoda",,,,,
"6452536bd9db0801d6bb8c26","台灣生物多樣性網絡 TBN","花蓮農地野生物分布資料集（花蓮場計畫）","HumanObservation","2022","04",23.51412222,121.39415,,4,"land","t0000503","class","Other molluscs","Animalia","Mollusca","","","","","Gastropoda",,,,,
"65be5ec5cf4897005f7dc541","台灣生物多樣性網絡 TBN","成龍溼地魚類生態紀錄","HumanObservation","2012","06",23.554752,120.161862,,30,"land","t0000503","class","Other molluscs","Animalia","Mollusca","","","","","Gastropoda",,,,,
"65be5ec5cf4897005f7dc507","台灣生物多樣性網絡 TBN","成龍溼地魚類生態紀錄","HumanObservation","2010","09",23.554752,120.161862,,30,"land","t0000503","class","Other molluscs","Animalia","Mollusca","","","","","Gastropoda",,,,,
